@relation MyTestRelation

@attribute class {joy,trust,vigour,anger,confusion,fear,anticipation,depression,surprise,fatigue,tension,disgust}			
@attribute tweetcontent string

@data
joy,'Dear Doctors, Lawyers, Engineers, Teachers, IT professionals, Bankers,\n\nEach of you plays a vital role in making our nation a better place. \n\nYour efforts ensure India is healthier, prosperous, advanced and educated. \n\nSpecially inviting you to join #MainBhiChowkidar programme.'
joy,'31st March 2019…an invigorating interaction with lakhs of Chowkidars from over 500 locations across the length and breadth of India. \n\nYour participation in the #MainBhiChowkidar programme will make the interaction even more special. \n\nRegister now! https://t.co/pAqjQE97b5'
joy,'Sharing an interesting section on my website that gives you a comprehensive glimpse of the NDA government’s work in various sectors over the last 5 years. \n\nYou can find interesting articles, news updates and attractive infographics here. \n\nhttps://t.co/pVEuuZmlqR'
joy,'Government of India and various State Governments are working hard to make India TB-free by 2025, 5 years before the global target of 2030. \nCentre’s efforts such as TB Free India campaign and Ayushman Bharat are improving health standards and providing assistance to TB patients.'
anger,'Today, on World TB Day we reaffirm our commitment towards ensuring a TB-free society. This would greatly benefit the poor. \n\nCorrect and complete treatment is the key to winning the battle against TB. I also salute the people and organisations strengthening the TB-free movement.'
joy,'The vibrant colours of Holi and Josh of so many Chowkidars...thank you for sharing. \n\nWonderful effort! https://t.co/Ltl9Uc3Qof'
confusion,'Absolutely! \n\nHumbled to see her extend solidarity. \n\nPlease convey my regards to your grandmother. https://t.co/6sesph2cg0'
joy,'Superb enthusiasm in Jammu! \n\nMy best wishes to the young Chowkidars.\n\nLooking forward to seeing you all on the 31st! \n\nJoin the #MainBhiChowkidar programme. You could also organise your own programme, where you all watch the programme together. https://t.co/ObbMEgxT7Y'
joy,'New season brings new battles! Challenge each other and play the @SachinSagaGame ! Prove your mettle and win big.\n\n@AppStore #SachinSaga \n\n https://t.co/SLyDJLAPNx https://t.co/V6eZW3lyY2'
trust,'RT @bhhupender: My son #Arshveer turns #Kesari @akshaykumar sir we are proud to be Sikhs really super duper blockbuster movie.After a long…'
fear,'RT @PaytmTickets: .@akshaykumar’s terrific portrayal of Havildar Ishar Singh perfectly brings to life the bravery of zealous warriors on th…'
joy,'Today they are betraying the principles of Dr. Ram Manohar Lohia, tomorrow they will also betray the people of India. \n\nMy thoughts on why those who claim to follow Dr. Lohia have let him down. Do read. \n\nhttps://t.co/gq1srcXwkx'
trust,'Seeing this tweet made me so happy ? Proud to have such fans ?? https://t.co/HE2wzMbECy'
joy,'Greetings to @smritiirani Ji on her birthday. She has made valuable contributions towards strengthening the BJP and in the working of key sectors of the Government. I pray for her long life and good health. I also convey my best wishes to her for the upcoming election in Amethi.'
vigour,'Thank you for your kind words. Let’s do this #brown power https://t.co/9qas6fD8Hj'
joy,'Special people do special things.\n\nCongratulations to all the athletes and the support staff of #TeamIndia on winning a staggering 368 medals ?at the @WorldGamesAD.\n\n?? ??????\n\n#SpecialOlympicsWorldGames2019 https://t.co/qfx9iit6pB'
anticipation,'This is the cutest picture I’ve seen today, hope they enjoyed the film. God bless them ?? https://t.co/eJdu9TlabD'
vigour,'Thank you Satnam :) https://t.co/az6q4b6M4c'
depression,'My condolences to the family and supporters of Karnataka Minister Shri CS Shivalli. \n\nShri Shivalli will be remembered for his service to Karnataka. May his soul rest in peace.'
trust,'Thank you ji ??? https://t.co/GrDvZD2SIr'
joy,'Big hug to your little one?? So glad to see parents taking their children for Kesari ?? https://t.co/g59hqGlmwL'
vigour,'Thank you https://t.co/Or25PWHAFi'
vigour,'Thank you ?? https://t.co/PYjxGLZIYa'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/l5aOUUA18q'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming & being together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/k7vEo2Fdod'
joy,'To unlock your potential in what you do, it will require a great deal of practice, patience and consistency. Make it happen guys and ensure you have the right support along the way to hit your goals. ? #one8 @Puma https://t.co/K22ZxHublA'
joy,'Opposition insults our forces time and again.\n\nI appeal to my fellow Indians- question Opposition leaders on their statements.\n\nTell them- 130 crore Indians will not forgive or forget the Opposition for their antics. \n\nIndia stands firmly with our forces. \n\n#JantaMaafNahiKaregi https://t.co/rwpFKMMeHY'
joy,'Opposition is the natural habitat of terror apologists and questioners of our armed forces. \n\nThis reprehensible statement by a senior leader like Ram Gopal Ji insults all those who have given their lives in protecting Kashmir. It humiliates the families of our martyrs. https://t.co/BZyWbIyJjo'
surprise,'Loyal courtier of Congress’ royal dynasty admits what the nation already knew- Congress was unwilling to respond to forces of terror.\n\nThis is a New India- we will answer terrorists in a language they understand and with interest! https://t.co/Mul4LIbKb5'
joy,'The most trusted advisor and guide of the Congress President has kick-started the Pakistan National Day celebrations on behalf of the Congress, ironically by demeaning India’s armed forces.\n\nShame! https://t.co/puSjTK8Y4x'
joy,'#Kesari has released...\nSo I\'m hiding in the bushes ?\nCatch me if you can in cinemas Worldwide? https://t.co/xH0A7YwuXr'
trust,'The simplest way to save water is to opt for just as much as you need. On #WorldWaterDay, let us pledge to save water with #CuttingPaani 2.0, a @livpurewater\'s initiative. Know more: https://t.co/LwTza3xSXc https://t.co/Fx1ibheQOr'
joy,'Best wishes to Shri @jualoram Ji on his birthday. He has been working assiduously towards improving the lives of tribal communities across India. I pray for his long and healthy life.'
trust,'Welcome to The Bumble Fund, @serenawilliams! We’re very lucky to have you on board ? @bumble\n\nhttps://t.co/lIP7WqOG9C'
joy,'T 3126 -\' Persian couplets Khusro eulogises Holi: \n‘Meen an shaad munbilam, zeest iz’ har soo rang-o-ilam’ – \n\nI’m ecstatic because there’s a riot of colours everywhere. \''
joy,'The success of every athlete who participated in the Special Olympics World Games will motivate countless other sportpersons to pursue and excel on the sports field. I would also like to congratulate the families and coaches of the medal winners for their invaluable support.'
trust,'Today is a proud day for India! \n\nOur contingent at the Special Olympics World Games Abu Dhabi has won a historic 368 medals including 85 Golds. \n\nCongratulations to all the medalists. Their fortitude and accomplishments inspire millions. @WorldGamesAD #MeetTheDetermined'
trust,'The truth always prevails. \n\nFake news driven by mischief and fake narratives driven by votebank politics stand shattered. https://t.co/9a7WrmzYR7'
anticipation,'Thank you Varun :) Hope you like it https://t.co/uotxSuAe1D'
joy,'Happy holi to everyone celebrating...Today, India is one giant, colorful street party! Holi is so vibrant and https://t.co/ApmQt9pYbc. There’s something magical about neighbours and neighbourhoods coming together over with food, music and gulaal!\n\nhttps://t.co/UvGVU04937 https://t.co/x55B9BhWk1'
joy,'Colours of Holi, flavours of music, a catchy tune and lots of Chowkidars...delight to watch! https://t.co/xOCWJo59bt'
joy,'Happy Holi to the energetic Chowkidars in Banda. \n\nMy best wishes to you all. https://t.co/A9Sq360CL3'
joy,'Extremely adorable! \n\nExuberant young Chowkidars these... https://t.co/5SUgGpddng'
vigour,'Off to Chennai ?? #teamrcb #ipl https://t.co/Ule0QI3Igj'
joy,'RT @StayWrogn: Hands up, and prepare to scream with joy. It\'s the festival of colours, and @imVkohli\'s ready with the first shots! #HappyHo…'
joy,'Wishing you a very Happy and Safe Holi! ?\n #HappyHoli'
vigour,'Thank you ?? https://t.co/Qcu2trepQg'
trust,'RT @mrsfunnybones: A moving story of extraordinary courage with some kick-ass action -my absolutely biased opinion :) I really really didn’…'
vigour,'Thank you Guru bhai ?? https://t.co/U5W2PlRaP1'
vigour,'Thank you :) https://t.co/DndDXmhECz'
vigour,'Thank you so much ?? https://t.co/OylFHkr299'
vigour,'Thank you :) https://t.co/GkbRFZ0BF6'
vigour,'That’s really kind of you, thank you Arjun ?? https://t.co/NcBMcBpQ4F'
joy,'Best wishes for your new song, ”ASIA” my friend, @DJBravo47 !?? https://t.co/Hidq5p1vUB'
joy,'All the shades of love, come alive this #Holi! #VeMaahi, song out - https://t.co/DuV9Z3DaES\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_ @ZeeMusicCompany #ArijitSingh @AseesKaur @tanishkbagchi'
joy,'Navroz Mubarak! \n\nPraying for a year filled with peace and prosperity. \n\nMay everyone be happy and be blessed with good health.'
joy,'Happy Holi to everyone! Let’s celebrate the vibrant hues, the beautiful relationships and the joyous laughter. Here’s a glimpse of my Holi with some of my friends at @MuveAcoustics ? #Holi2019 #MuveAcoustics #MajorFrenzyFeels\nCheck out the link below -\nhttps://t.co/TXov9mP6vi https://t.co/N1XfnZ1y91'
joy,'This Holi, witness the shades of bravery on the big screens. #Kesari in cinemas now! #RangDeKesari \nhttps://t.co/3XndVtcKUJ\nhttps://t.co/7SzZ28HTtw https://t.co/qNvLs9AlJj'
trust,'May this Holi add more colors to your life. Wishing you all a very #HappyHoli and Navroz Mubarak as well :)'
joy,'May the spirit and colors of Holi fill you with happiness, peace and love. Happy Holi beautiful people. #HappyHoli'
joy,'T 3125 - Be it the middle of the morning or the late of night, work takes one to its ultimate need - finish your work and then only then shall there be reason to be crabbity  !'
vigour,'Thank you for the unwavering faith. https://t.co/zvIs80HtRy'
trust,'RT @arunjaitley: Agenda 2019 – Part-10 (Final) : Why Agriculture, Rural Development and Healthcare Require a GST Council Type Structure?…'
joy,'Heartiest congratulations to AVSM Air Marshal M Baladitya on receiving the Ati Vishisht Seva Medal by Hon’ble President of India yesterday. Have fond memories of him from the time he was the manager of the Indian Cricket Team. https://t.co/0yp3lKLDL3'
trust,'Was a joy shooting for this, #PureFun! \nCheck out the new Shyam Steel ad for their TMT bars made from #PureSteel.\n@AnushkaSharma @shyamsteel\n#PureLove #ShyamSteel #TMT https://t.co/f9K9X7jhy3'
joy,'Having a wonderful interaction with Chowkidars from across India. Join. https://t.co/UWeyAVtOIH'
joy,'Looking forward to interacting with over 25 lakh Chowkidars via audio bridge. The interaction begins at 4:30. Join the interaction on the NaMo App.'
joy,'Great press conference yesterday! Now all eyes set on the season opener on the 24th March at the Wankhede. @mumbaiindians\n#OneFamily https://t.co/GMAALEeSLJ'
joy,'With hardwork & dedication anything is possible! What Ameya Bhagwat has been able to achieve since my last meeting with him 2 years ago at the @IDBIFed Mumbai Half Marathon is truly inspiring.\nKudos to you and keep it up!??\n\n#WednesdayWorkOut https://t.co/9JSRvOxVr5'
joy,'Kal se #RangDeKesari! #Kesari in cinemas TOMORROW!\nhttps://t.co/3XndVsV9w9\nhttps://t.co/7SzZ28Zul4\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_ https://t.co/ALAC08Bt1t'
vigour,'The biggest casualty of dynastic politics are institutions. \n\nFrom the press to Parliament.\n\nFrom soldiers to free speech.\n\nFrom the Constitution to the courts.\n\nNothing is spared. \n\nSharing some thoughts. \n\nhttps://t.co/nnRCNcht8e'
joy,'Was fun to have you around yesterday skip ? @chetrisunil11 #topguy #cricketmeetsfootball https://t.co/sUzZ2xxAgF'
joy,'T 3124 - Vivek Sharma directed BhootNath for me , now writes a book .. my best wishes to him .. \n\"Mohabbat Urdu hai \" https://t.co/575vRIAJDQ'
anger,'RT @DharmaMovies: The 21 fearless Sikhs are all set for the battle! Are you? \nBook your tickets now - https://t.co/6IZUL8iV6V\nhttps://t.co/…'
joy,'RT @TheView: COMING UP ON @TheView: @priyankachopra joins the table to dish on her new special #JustOneThing! https://t.co/f9KHFqji9t'
trust,'Rich in facts and high on detail, this sharp and insightful piece by @arunjaitley Ji presents an accurate picture of the transformation in the last five years.\n\nIt also gives a befitting reply to the spreaders of fake news and narratives. \n\nDo read and share. https://t.co/OIJVPMNi7l'
joy,'Gallantry Awards and Distinguished Service Decorations were conferred upon outstanding people who have been serving India with utmost courage. \n\nHere are pictures from today’s ceremony. https://t.co/4Rru0UDuv5'
trust,'When the nation\'s Nari Shakti pledges support, rest assured India is in safe hands.\n\nLooking forward to seeing you all during the interaction with Chowkidars on the 31st of this month at 5 PM. https://t.co/fvLofQCMHp'
trust,'This made my day! \n\nHumbled, and grateful to Sheila Ji. https://t.co/CEBbIC54PW'
joy,'I salute your mother\'s will power and thank her for the blessings, which give us great strength. https://t.co/IPRQwEMlgJ'
trust,'Admire the spirit and confidence! Please convey my regards to your mother. https://t.co/VypEZCSfNM'
joy,'It\'s time to bring the missing chapter of history to the big screen.#Kesari in cinemas this #Thursday!https://t.co/3XndVtcKUJ\nhttps://t.co/7SzZ28HTtw\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_ https://t.co/xU7cREHqzF'
joy,'Another reason to @StayWrogn now! ? Feels great to be sporting #WROGN both on and off the field. ?? @RCBTweets #StayWrogn #IPL2019 #PlayBold #RCBBoldArmy #RCB https://t.co/VVTZrObY3B'
trust,'Aap ki Holi #Kesari rang ne, aa rahe hain @ParineetiChopra aur main. So be ready all day tomorrow, only on @radiomirchi with @MirchiRJNaved! #MirchiBanaKesari https://t.co/1cZ812zAc4'
joy,'Best wishes to Dr. Pramod Sawant and his team as they begin their journey towards fulfilling the dreams of the people of Goa. I am sure they will build on the work done in the last few years and boost Goa’s growth trajectory.'
trust,'Privileged to have started the day with such a heartfelt interview at my favourite place in Delhi, the Red Fort with @sudhirchaudhary . This is a special one for #Kesari, coming up tonight on @ZeeNews https://t.co/WvCRomVEe2'
vigour,'T 3123 - Another quiz on #Badla .. in his entire presence Badal Gupta is fluent in his speech and debate .. BUT at one point in the film he STUTTERS .. where does he do that and WHY .. ?\nProduction is trying to think up of a reward for the winner !'
vigour,'T 3123 - Thank you FOR  #Badla  .. but I have a quiz  ; seen my promo  designed by me & developed & composed by dear friends music director duo #Rohan #Vinayak .. \nWHAT ARE THOSE ENGLISH VOICES YOU HEAR .. AND WHY ..?\n: https://t.co/vp889qvPDp'
joy,'T 3123 - My dedicated Ef compile for posterity .. a journey that they see .. Coky Ef from Egypt, puts together some links .. thank you ??\n\nhttps://t.co/nk9xdveqjy\nhttps://t.co/gObPp9woqd\nhttps://t.co/a1K2QjHgsZ\nhttps://t.co/skkexrrD1J\nhttps://t.co/pAC4gNnY1M'
joy,'T 3123 - My compliments and wishes to the storehouse of abundant talent - Shefali Shah and her film .. ??\n\nhttps://t.co/0OeGbzdoGq'
joy,'Belated happy birthday @ToranjKayvon may your positivity manifest loads of success this year in all that you do. Have a super year ! https://t.co/7TBRXXaZ96'
joy,'Well done Hari! Thank you for sharing this.\n\nWishing you a happy birthday as well! :) https://t.co/v78gc17lDj'
joy,'Happy to see young Chowkidar Navya take the lead and show remarkable passion towards India\'s development. https://t.co/oB7x325Tfi'
joy,'Great! \n\nBest wishes to the youngsters. https://t.co/Z3c2iLBdV6'
joy,'Saksham is full of vibrancy! \n\nHappy to see the energy. https://t.co/kKfgq83nxb'
trust,'Guided by the Mantra of ‘Reform to Transform’, the NDA Government has taken bold and futuristic decisions that have boosted the economy and rewarded the honest citizens of India. https://t.co/KjFhHd6WkC'
trust,'No matter how many times in a year I come here, Delhi is always ready with a warm welcome ?? A big thank you from Team #Kesari ?? https://t.co/zzNGu3Ydpk'
joy,'Iss #Holi, #RangDeKesari! Just 3 days to go. Book your tickets now - https://t.co/aKHpdmR3YZ\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_ https://t.co/zZoXyzcBAM'
joy,'Paid tributes to my friend Shri Manohar Parrikar. \n\nHe personified humility, simplicity and compassion. \n\nThe good work he has done will be remembered for years to come. https://t.co/AX2o3yJZHe'
joy,'Great to be back at the Chinnaswamy for another season with @RCBTweets. ? Can’t wait to be on the field! ?? #PlayBold #IPL2019 https://t.co/2Bl7oGY2qE'
joy,'Sat Sri Akaal Chandigarh ?? Team #Kesari heading to PVR Elante now, looking forward to seeing you all there ?? @ParineetiChopra @SinghAnurag79 https://t.co/C2pCJHYos4'
joy,'Less than one hour until #JustOneThing !!\n\nhttps://t.co/3Qg9wLLNQd'
joy,'Indeed Pranab Da. \n\nThese rich words from a distinguished statesman like you, who has also dealt with issues of national security, will greatly encourage our scientists and engineers. They have always worked to strengthen India and will continue to do so. #MissionShakti https://t.co/BvzsSQfUNA'
trust,'Indeed, a proud moment for the whole nation.\n\nJust like you smash the bad deliveries out of the park, our scientists have given India the capability to smash those forces who threaten our peace and harmony. #MissionShakti https://t.co/U4mpQiH9Fn'
anger,'Full credit to our scientists who succeeded in making India a part of an elite group of countries who have ASAT missile capability.\n\nUndaunted by the shameful mockery of a select few, they continue to serve Maa Bharti. #MissionShakti https://t.co/FQ7ZuQChTi'
joy,'Kiran ji, India\'s indefatigable scientists continue to redefine the contours of our capabilities and take it to greater heights. They invent, innovate and boost our development trajectory. #MissionShakti https://t.co/WQBtDJiQ2O'
trust,'#MissionShakti is special for 2 reasons:\n(1) India is only the 4th country to acquire such a specialised & modern capability. \n(2) Entire effort is indigenous. \nIndia stands tall as a space power! \nIt will make India stronger, even more secure and will further peace and harmony.'
joy,'#MissionShakti was a highly complex one, conducted at extremely high speed with remarkable precision. It shows the remarkable dexterity of India’s outstanding scientists and the success of our space programme.'
joy,'In the journey of every nation there are moments that bring utmost pride and have a historic impact on generations to come. \n\nOne such moment is today.\n\nIndia has successfully tested the Anti-Satellite (ASAT) Missile. Congratulations to everyone on the success of #MissionShakti.'
joy,'An important message to the nation. Watch. https://t.co/0LEOATgOOQ'
trust,'Owning the streets like a boss with my @amtouristerin #SwagPack! ??? #GoSwagpackin https://t.co/4Ho4DYsM6r'
joy,'TOMORROW. #JustOneThing \n\n@DVF @Simone_Biles @awkwafina @YouTube https://t.co/AZmfH0S41a'
joy,'Back in Bangalore and back to work. #thegrindneverstops https://t.co/Tu5uFHexmi'
joy,'The real spirit of courage was displayed off-screen when #Kesari rose from the ashes. https://t.co/dTphjVf9hg\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_'
joy,'Best day off ever!!! @nickjonas @joejonas @SophieT #JSisters ????? https://t.co/0N5DylobuD'
joy,'When the crew looks this good ????\n\n@SophieT @nickjonas @joejonas @kevinjonas @chasefoster @MDeleasaChile https://t.co/ki2zgOaOMp'
joy,'T 3131 - Earth Hour , INDIA .. Saturday 30th March 2019 ..  8.30 pm to 9.30 pm ! Switch OFF non essential lights ! Join the \'Bee4ThePlanet\' challenge on social media !?\nI did last year .. I will this year too !!'
joy,'please please please .. its a great story !!??????? https://t.co/RVckBziCB4'
trust,'At such a young age, your brother is thinking about cleanliness and patriotism. Remarkable! https://t.co/M2U4VRMNKm'
vigour,'Absolutely! \n\nA strong Government can ensure a developed India. https://t.co/jIKzVfeJ2C'
joy,'Glad you liked it. https://t.co/ld2GJZGDQM'
joy,'Appreciable effort! https://t.co/W1b9qxrdV3'
trust,'Birthday wishes to my valued Cabinet colleague @ChBirenderSingh Ji. \n\nBirender Ji is a veteran leader whose experience is an asset for the BJP and Central Government. His passion for farmer welfare and work in the steel sector is noteworthy. Praying for his long and healthy life.'
trust,'Voting isn’t just about making a choice it’s about being responsible and being sensitive. Please earn your democracy. Please vote this time. https://t.co/ZyNd4bv0Om'
joy,'Channelled my inner @Oprah and chatted with three incredibly inspiring women! Cannot wait to share their stories with you in my new @YouTube special If I Could Tell You Just One Thing out March, 27th \n#JustOneThing \n\nhttps://t.co/xIRgIrE3do https://t.co/uMvH35NqBk'
trust,'Noted athletes @HimaDas8, @DipaKarmakar and @SakshiMalik, \n\nIndia is proud of you and you inspire many others youngsters. \n\nNow, it is time to inspire greater voter awareness and participation, especially among youngsters. #VoteKar'
joy,'If you are undertaking any innovative voter awareness campaign, do share details using #VoteKar. \n\nTogether, we will ensure maximum Indians exercise their franchise.'
confusion,'I call upon @itsSSR, @TheAaryanKartik and @kritisanon to help increase voter awareness. You are the younger generation that is taking Indian cinema places. \n\nThe power of youth will also strengthen our democracy. \n\nTell everyone- #VoteKar'
joy,'A request to @ektaravikapoor, @ParineetiChopra and @SidMalhotra- As prominent Indians whose achievements are much admired, your voice has immense reach. \n\nI appeal to you to raise voter awareness and strengthen democracy. #VoteKar'
joy,'Newspapers are a fantastic way to reaffirm the vitality of voting. \n\nThat is why, I request the teams of @manoramaonline, @AmarUjalaNews and Sakal Media Group to motivate more people to exercise their franchise through innovative voter awareness campaigns. #VoteKar'
confusion,'Participative democracy can be furthered through high voter turnout. \n\nI urge @MiLOKMAT, @NavbharatTimes and @punjabkesari to increase vote awareness and turnout. \n\nTheir doing so would strengthen our polity. #VoteKar'
joy,'I would request @TVMohandasPai, @ShekharGupta, @DrSYQuraishi and @punitgoenka to highlight the importance of high voter turnout, especially among youngsters. \n\nThe words of these individuals will surely bring more people to the polling booth. #VoteKar'
joy,'Dear @imbhandarkar, @vivekagnihotri and @RajkummarRao, \n\nYour work in the cinema industry has touched upon interesting and innovative themes. Your words and actions matter. \n\nI request you to increase voter awareness and motivate youth to vote in large numbers. #VoteKar'
vigour,'As widely watched news personalities, I call upon @bhupendrachaube, @szarabi & @AMISHDEVGAN to leverage the power of electronic media to ensure high turnout in the 2019 Lok Sabha polls. After all, a vote is a powerful way to bring about a positive difference in society. #VoteKar'
joy,'It would be wonderful if @SwetaSinghAT, @debjani_ghosh_ and @chitraaum devote time and energy towards boosting voter turnout in the upcoming Parliamentary elections. \n\nTell the people of India- #VoteKar.'
joy,'On the cricket field, @SDhawan25, @BhuviOfficial and @ashwinravi99 shine with their incredible talent and absolute commitment towards their team. \n\nI urge them to encourage greater voter awareness and voter participation. \n\nYoung India will follow their lead. #VoteKar'
joy,'Dear @AnilKapoor, @ajaydevgn & @MadhuriDixit, \n\nAfter the box office, it is time to create Total Dhamaal at the polling booths.\n\nYour support to the #VoteKar movement will augur well for India’s democracy.\n\nLet us ensure high voter turnout!'
joy,'Dear @vikramchandra, @rajeshkalra and @abhijitmajumder, \n\nToday a large number of youngsters consume news on the move. \n\nIt’s time to motivate them to #VoteKar to ensure a better tomorrow.'
joy,'Dear @iHrithik and @ActorMadhavan, \n\nYour work has stood out not only for the entertainment quotient but also for the passion and hardwork behind it. As widely respected voices, if you lend your voice towards increasing voter awareness, it strengthens India\'s democracy. #VoteKar'
trust,'The formidable @AnupamPKher, multifaceted @iKabirBedi and the widely acclaimed @shekharkapur have made India very proud at the world stage. \n\nMy appeal to them- can you tell fellow Indians to vote in large numbers in the upcoming elections? #VoteKar'
joy,'My fellow Indians,\n\nThe time has come to say- #VoteKar.\n\nIn the upcoming Lok Sabha elections, ensure that you as well as your family and friends turnout in record numbers.\n\nYour doing so will have a positive impact on the nation’s future.'
joy,'The #MainBhiChowkidar programme on the 31st will look even better with the attractive merchandise! \n\nHave you ordered yours? https://t.co/HVgLzNyClq'
joy,'For the 31st programme you can:\n\nShare your thoughts and ideas using #MainBhiChowkidar.\n\nMobilise people to join the interaction. \n\nOrganise an event to watch the interaction with family and friends. After all, greater participation would mean greater enthusiasm.'
joy,'Dear Doctors, Lawyers, Engineers, Teachers, IT professionals, Bankers,\n\nEach of you plays a vital role in making our nation a better place. \n\nYour efforts ensure India is healthier, prosperous, advanced and educated. \n\nSpecially inviting you to join #MainBhiChowkidar programme.'
joy,'31st March 2019…an invigorating interaction with lakhs of Chowkidars from over 500 locations across the length and breadth of India. \n\nYour participation in the #MainBhiChowkidar programme will make the interaction even more special. \n\nRegister now! https://t.co/pAqjQE97b5'
joy,'Sharing an interesting section on my website that gives you a comprehensive glimpse of the NDA government’s work in various sectors over the last 5 years. \n\nYou can find interesting articles, news updates and attractive infographics here. \n\nhttps://t.co/pVEuuZmlqR'
joy,'Government of India and various State Governments are working hard to make India TB-free by 2025, 5 years before the global target of 2030. \nCentre’s efforts such as TB Free India campaign and Ayushman Bharat are improving health standards and providing assistance to TB patients.'
anger,'Today, on World TB Day we reaffirm our commitment towards ensuring a TB-free society. This would greatly benefit the poor. \n\nCorrect and complete treatment is the key to winning the battle against TB. I also salute the people and organisations strengthening the TB-free movement.'
joy,'The vibrant colours of Holi and Josh of so many Chowkidars...thank you for sharing. \n\nWonderful effort! https://t.co/Ltl9Uc3Qof'
confusion,'Absolutely! \n\nHumbled to see her extend solidarity. \n\nPlease convey my regards to your grandmother. https://t.co/6sesph2cg0'
joy,'Superb enthusiasm in Jammu! \n\nMy best wishes to the young Chowkidars.\n\nLooking forward to seeing you all on the 31st! \n\nJoin the #MainBhiChowkidar programme. You could also organise your own programme, where you all watch the programme together. https://t.co/ObbMEgxT7Y'
joy,'New season brings new battles! Challenge each other and play the @SachinSagaGame ! Prove your mettle and win big.\n\n@AppStore #SachinSaga \n\n https://t.co/SLyDJLAPNx https://t.co/V6eZW3lyY2'
trust,'RT @bhhupender: My son #Arshveer turns #Kesari @akshaykumar sir we are proud to be Sikhs really super duper blockbuster movie.After a long…'
fear,'RT @PaytmTickets: .@akshaykumar’s terrific portrayal of Havildar Ishar Singh perfectly brings to life the bravery of zealous warriors on th…'
joy,'Today they are betraying the principles of Dr. Ram Manohar Lohia, tomorrow they will also betray the people of India. \n\nMy thoughts on why those who claim to follow Dr. Lohia have let him down. Do read. \n\nhttps://t.co/gq1srcXwkx'
trust,'Seeing this tweet made me so happy ? Proud to have such fans ?? https://t.co/HE2wzMbECy'
joy,'Greetings to @smritiirani Ji on her birthday. She has made valuable contributions towards strengthening the BJP and in the working of key sectors of the Government. I pray for her long life and good health. I also convey my best wishes to her for the upcoming election in Amethi.'
vigour,'Thank you for your kind words. Let’s do this #brown power https://t.co/9qas6fD8Hj'
joy,'Special people do special things.\n\nCongratulations to all the athletes and the support staff of #TeamIndia on winning a staggering 368 medals ?at the @WorldGamesAD.\n\n?? ??????\n\n#SpecialOlympicsWorldGames2019 https://t.co/qfx9iit6pB'
anticipation,'This is the cutest picture I’ve seen today, hope they enjoyed the film. God bless them ?? https://t.co/eJdu9TlabD'
vigour,'Thank you Satnam :) https://t.co/az6q4b6M4c'
depression,'My condolences to the family and supporters of Karnataka Minister Shri CS Shivalli. \n\nShri Shivalli will be remembered for his service to Karnataka. May his soul rest in peace.'
vigour,'Thank you ji ??? https://t.co/GrDvZD2SIr'
joy,'Big hug to your little one?? So glad to see parents taking their children for Kesari ?? https://t.co/g59hqGlmwL'
vigour,'Thank you https://t.co/Or25PWHAFi'
vigour,'Thank you ?? https://t.co/PYjxGLZIYa'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/l5aOUUA18q'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming & being together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/k7vEo2Fdod'
joy,'To unlock your potential in what you do, it will require a great deal of practice, patience and consistency. Make it happen guys and ensure you have the right support along the way to hit your goals. ? #one8 @Puma https://t.co/K22ZxHublA'
joy,'Opposition insults our forces time and again.\n\nI appeal to my fellow Indians- question Opposition leaders on their statements.\n\nTell them- 130 crore Indians will not forgive or forget the Opposition for their antics. \n\nIndia stands firmly with our forces. \n\n#JantaMaafNahiKaregi https://t.co/rwpFKMMeHY'
joy,'Opposition is the natural habitat of terror apologists and questioners of our armed forces. \n\nThis reprehensible statement by a senior leader like Ram Gopal Ji insults all those who have given their lives in protecting Kashmir. It humiliates the families of our martyrs. https://t.co/BZyWbIyJjo'
